PLZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Standard;;;60,17;54,66;51,76;50,86;50,70;50,15;50,05;50,00;49,70;49,45;49,35;49,30;49,25;49,20;49,15;49,05;49,00;48,95;48,90;48,85;48,80;48,75;48,70;;;;;;;;;;;;;;;;;;;;;;;;;
Sparheizöl;;;62,17;56,66;53,76;52,86;52,70;52,15;52,05;52,00;51,70;51,45;51,35;51,30;51,25;51,20;51,15;51,05;51,00;50,95;50,90;50,85;50,80;50,75;50,70;;;;;;;;;;;;;;;;;;;;;;;;;
2. ES Standard;;;65,17;57,16;53,42;52,11;51,70;50,99;50,77;50,63;50,20;49,87;49,71;49,61;49,53;49,45;49,36;49,23;49,16;49,09;49,03;48,96;48,90;48,84;48,78;;;;;;;;;;;;;;;;;;;;;;;;;
;;;500;1000;1500;2000;2500;3000;3500;4000;5000;6000;7000;8000;9000;10000;12000;14000;16000;18000;20000;23000;26000;29000;32000;;;;;;;;;;;;;;;;;;;;;;;;;
Tourencode;Ansprechpartner;PLZ Code;500;1000;1500;2000;2500;3000;3500;4000;5000;6000;7000;8000;9000;10000;12000;14000;16000;18000;20000;23000;26000;29000;32000;Sparheizöl;Einstandspreis;zusätzliche Abladestelle ;ADR Pauschale ;Express-Def;Express-Aufschlag;Lieferzeit-Standard-Def;Lieferzeit-Standard-Aufschlag;Lieferzeit-Premium-Def;Lieferzeit-Premium-Aufschlag;Rechnung;ZMZ Wärmekonto;EC-Karte;Lastschrift;Barzahlung;Bis 60 m Schlauch;Bis 80m Schlauch;Sonderfahrzeug Tankwagen klein;Kälteschutz;Flexibel2;Flexibel3;Flexibel4;Flexibel5;Flexibel6;Verkaufspreis
AHR;rolf.rademaker@team.de;22143;12,00;6,50;3,60;2,70;2,55;2,00;1,90;1,85;1,55;1,30;1,20;1,15;1,10;1,05;1,00;0,90;0,85;0,80;0,75;0,70;0,65;0,60;0,55;2,00;48,15;25,00;11,90;2;80,00;14;0,00;10;0,00;30,00;30,00;0,00;0,00;0,00;15,00;30,00;100,00;19,50;;;;;;
AHR;rolf.rademaker@team.de;22145;12,00;6,50;3,60;2,70;2,55;2,00;1,90;1,85;1,55;1,30;1,20;1,15;1,10;1,05;1,00;0,90;0,85;0,80;0,75;0,70;0,65;0,60;0,55;2,00;48,15;25,00;11,90;2;80,00;14;0,00;10;0,00;30,00;30,00;0,00;0,00;0,00;15,00;30,00;100,00;19,50;;;;;;
AHR;rolf.rademaker@team.de;22147;12,00;6,50;3,60;2,70;2,55;2,00;1,90;1,85;1,55;1,30;1,20;1,15;1,10;1,05;1,00;0,90;0,85;0,80;0,75;0,70;0,65;0,60;0,55;2,00;48,15;25,00;11,90;2;80,00;14;0,00;10;0,00;30,00;30,00;0,00;0,00;0,00;15,00;30,00;100,00;19,50;;;;;;
AHR;rolf.rademaker@team.de;22149;12,00;6,50;3,60;2,70;2,55;2,00;1,90;1,85;1,55;1,30;1,20;1,15;1,10;1,05;1,00;0,90;0,85;0,80;0,75;0,70;0,65;0,60;0,55;2,00;48,15;25,00;11,90;2;80,00;14;0,00;10;0,00;30,00;30,00;0,00;0,00;0,00;15,00;30,00;100,00;19,50;;;;;;
AHR;rolf.rademaker@team.de;22926;12,00;6,50;3,60;2,70;2,55;2,00;1,90;1,85;1,55;1,30;1,20;1,15;1,10;1,05;1,00;0,90;0,85;0,80;0,75;0,70;0,65;0,60;0,55;2,00;48,15;25,00;11,90;2;80,00;14;0,00;10;0,00;30,00;30,00;0,00;0,00;0,00;15,00;30,00;100,00;19,50;;;;;;
AHR;rolf.rademaker@team.de;22927;12,00;6,50;3,60;2,70;2,55;2,00;1,90;1,85;1,55;1,30;1,20;1,15;1,10;1,05;1,00;0,90;0,85;0,80;0,75;0,70;0,65;0,60;0,55;2,00;48,15;25,00;11,90;2;80,00;14;0,00;10;0,00;30,00;30,00;0,00;0,00;0,00;15,00;30,00;100,00;19,50;;;;;;
AHR;rolf.rademaker@team.de;22929;12,00;6,50;3,60;2,70;2,55;2,00;1,90;1,85;1,55;1,30;1,20;1,15;1,10;1,05;1,00;0,90;0,85;0,80;0,75;0,70;0,65;0,60;0,55;2,00;48,15;25,00;11,90;2;80,00;14;0,00;10;0,00;30,00;30,00;0,00;0,00;0,00;15,00;30,00;100,00;19,50;;;;;;
